Болит голова	Если у вас регулярно болит голова, советую обратиться к врачу и пройти обследование. Чтобы снять симптомы головной боли советую выпить цитрамон, предварительно разжевав таблетку. Если цитрамон не помогает, примите нурофен (не более двух таблеток в день) 
Чешется голова	Если голова чешется продолжительное время, обратитесь к дерматологу! Если нет, то советую вам воспользоваться мазью против зуда от укусов насекомых. Вероятно вас укусило насекомое 
Ударил голову	Если удар сильный, то советую обратиться к врачу, особенно если чувствуете головокружение или тошноту. Если при ударе образовалась рана, то ее нужно дезинфицировать и забинтовать. Если шишка, то приложите холодное
Ноет голова	В каком смысле, ноет? Попробуйте ее успокоить, купите цветы или конфеты... в любом случае важно именно ваше внимание 
Мигрень	Примите обезболивающее. Например, нурофен. Помните, что какой бы сильной не была мигрень, нельзя пить больше двух таблеток нурофен в день
Продуло голову	Если голову продуло, вы чувствуете слабость, у вас повышена температура, то необходимо срочно обратиться к врачу. Если у вас болит ухо/челюсть, то замотайте больное место шерстяным платком
Слезятся глаза	Глаза могут слезиться как из-за вирусного заболевания, так и из-за аллергии. Если у вас аллергия, то примите противоаллергенные лекарства(необходимо проконсультироваться со специалистом) если есть подозрение на вирус, то обязательно идите к врачу, который выпишет вам подходящие лекарства и процедуры.
Сухость в глазах	Скорее всего сухость вызвана аллергией. Советую вам обратиться к вашему лечащему врачу и разработать подходящий для вас курс противоаллергенных препаратов.
Поцарапал глаз	Немедленно обратитесь к врачу. Сразу после инцидента глаз необходимо обездвижить и накрыт мягкой сухой тканью 
Ударил глаз	Немедленно обратитесь к врачу. Сразу после инцидента глаз необходимо обездвижить и накрыт мягкой сухой тканью 
Выбил глаз 	Немедленно обратитесь к врачу. Сразу после инцидента глаз необходимо обездвижить и накрыт мягкой сухой тканью 
Выколол глаз	Немедленно обратитесь к врачу. Сразу после инцидента глаз необходимо обездвижить и накрыт мягкой сухой тканью 
Ослепли глаза	ЭТО ОЧЕНЬ СЕРЬЕЗНО. Если можете, немедленно! обратитесь к врачу. Если нет, то закапайте сок алоэ.
Ослеп	ЭТО ОЧЕНЬ СЕРЬЕЗНО. Если можете, немедленно! обратитесь к врачу. Если нет, то закапайте сок алоэ.
Болит глаз	Глаз может болеть по многим причинам. Советуем обратиться к специалисту. С глазами не шутят
Заболел глаз	Глаз может болеть по многим причинам. Советуем обратиться к специалисту. С глазами не шутят
Болит ухо	Скорее всего, вас продуло, или в ухо попала вода. Рекомендую обратиться к специалисту. Так же для прекращения воспалительного процесса нужно закапать в ухо противовоспалительные капли. Например, оттпакс. Та же необходимо накрыть ухо шерстяным платком и держать в тёплых условиях.
Стреляет ухо	Скорее всего, вас продуло, или в ухо попала вода. Рекомендую обратиться к специалисту. Так же для прекращения воспалительного процесса нужно закапать в ухо противовоспалительные капли. Например, оттпакс. Та же необходимо накрыть ухо шерстяным платком и держать в тёплых условиях.
Заложило ухо	Скорее всего, вас продуло, или в ухо попала вода. Рекомендую обратиться к специалисту. Так же для прекращения воспалительного процесса нужно закапать в ухо противовоспалительные капли. Например, оттпакс. Та же необходимо накрыть ухо шерстяным платком и держать в тёплых условиях.
Чешется ухо	Скорее всего, вас продуло, или в ухо попала вода. Рекомендую обратиться к специалисту. Так же для прекращения воспалительного процесса нужно закапать в ухо противовоспалительные капли. Например, оттпакс. Та же необходимо накрыть ухо шерстяным платком и держать в тёплых условиях.
Болят уши	Скорее всего, вас продуло, или в ухо попала вода. Рекомендую обратиться к специалисту. Так же для прекращения воспалительного процесса нужно закапать в ухо противовоспалительные капли. Например, оттпакс. Та же необходимо накрыть ухо шерстяным платком и держать в тёплых условиях.
